season,game_date,season_type,away_team,home_team,matchup
2018-19,2018-09-28,preseason,Boston Celtics,Charlotte Hornets,BOS@CHA
2018-19,2018-09-29,preseason,Minnesota Timberwolves,Golden State Warriors,MIN@GSW
2018-19,2018-09-29,preseason,Portland Trail Blazers,Toronto Raptors,POR@TOR
2018-19,2018-09-30,preseason,Charlotte Hornets,Boston Celtics,CHA@BOS
2018-19,2018-09-30,preseason,Denver Nuggets,Los Angeles Lakers,DEN@LAL
2018-19,2018-09-30,preseason,Miami Heat,San Antonio Spurs,MIA@SAS
2018-19,2018-09-30,preseason,New Orleans Pelicans,Chicago Bulls,NOP@CHI
2018-19,2018-10-01,preseason,New Orleans Pelicans,Atlanta Hawks,NOP@ATL
2018-19,2018-10-01,preseason,New York Knicks,Washington Wizards,NYK@WAS
2018-19,2018-10-01,preseason,Orlando Magic,Philadelphia 76ers,ORL@PHI
2018-19,2018-10-01,preseason,Sacramento Kings,Phoenix Suns,SAC@PHX
2018-19,2018-10-02,preseason,Cleveland Cavaliers,Boston Celtics,CLE@BOS
2018-19,2018-10-02,preseason,Denver Nuggets,Los Angeles Lakers,DEN@LAL
2018-19,2018-10-02,preseason,Memphis Grizzlies,Houston Rockets,MEM@HOU
2018-19,2018-10-02,preseason,Miami Heat,Charlotte Hornets,MIA@CHA
2018-19,2018-10-02,preseason,Toronto Raptors,Utah Jazz,TOR@UTA
2018-19,2018-10-03,preseason,Chicago Bulls,Milwaukee Bucks,CHI@MIL
2018-19,2018-10-03,preseason,Detroit Pistons,Oklahoma City Thunder,DET@OKC
2018-19,2018-10-03,preseason,Minnesota Timberwolves,LA Clippers,MIN@LAC
2018-19,2018-10-03,preseason,New York Knicks,Brooklyn Nets,NYK@BKN
2018-19,2018-10-04,preseason,Indiana Pacers,Houston Rockets,IND@HOU
2018-19,2018-10-04,preseason,Sacramento Kings,Los Angeles Lakers,SAC@LAL
2018-19,2018-10-05,preseason,Atlanta Hawks,Memphis Grizzlies,ATL@MEM
2018-19,2018-10-05,preseason,Detroit Pistons,San Antonio Spurs,DET@SAS
2018-19,2018-10-05,preseason,Miami Heat,Washington Wizards,MIA@WAS
2018-19,2018-10-05,preseason,New Orleans Pelicans,New York Knicks,NOP@NYK
2018-19,2018-10-05,preseason,Oklahoma City Thunder,Minnesota Timberwolves,OKC@MIN
2018-19,2018-10-05,preseason,Philadelphia 76ers,Dallas Mavericks,PHI@DAL
2018-19,2018-10-05,preseason,Portland Trail Blazers,Phoenix Suns,POR@PHX
2018-19,2018-10-05,preseason,Sacramento Kings,Golden State Warriors,SAC@GSW
2018-19,2018-10-06,preseason,Boston Celtics,Cleveland Cavaliers,BOS@CLE
2018-19,2018-10-06,preseason,Indiana Pacers,Memphis Grizzlies,IND@MEM
2018-19,2018-10-06,preseason,LA Clippers,Los Angeles Lakers,LAC@LAL
2018-19,2018-10-07,preseason,Atlanta Hawks,Oklahoma City Thunder,ATL@OKC
2018-19,2018-10-07,preseason,Houston Rockets,San Antonio Spurs,HOU@SAS
2018-19,2018-10-07,preseason,Milwaukee Bucks,Minnesota Timberwolves,MIL@MIN
2018-19,2018-10-07,preseason,Utah Jazz,Portland Trail Blazers,UTA@POR
2018-19,2018-10-08,preseason,Brooklyn Nets,Detroit Pistons,BKN@DET
2018-19,2018-10-08,preseason,Chicago Bulls,Charlotte Hornets,CHI@CHA
2018-19,2018-10-08,preseason,Dallas Mavericks,Philadelphia 76ers,DAL@PHI
2018-19,2018-10-08,preseason,Indiana Pacers,Cleveland Cavaliers,IND@CLE
2018-19,2018-10-08,preseason,Orlando Magic,Miami Heat,ORL@MIA
2018-19,2018-10-08,preseason,Phoenix Suns,Golden State Warriors,PHX@GSW
2018-19,2018-10-08,preseason,Washington Wizards,New York Knicks,WAS@NYK
2018-19,2018-10-09,preseason,Denver Nuggets,LA Clippers,DEN@LAC
2018-19,2018-10-09,preseason,Milwaukee Bucks,Oklahoma City Thunder,MIL@OKC
2018-19,2018-10-10,preseason,Brooklyn Nets,Toronto Raptors,BKN@TOR
2018-19,2018-10-10,preseason,Golden State Warriors,Los Angeles Lakers,GSW@LAL
2018-19,2018-10-10,preseason,Indiana Pacers,Chicago Bulls,IND@CHI
2018-19,2018-10-10,preseason,Memphis Grizzlies,Orlando Magic,MEM@ORL
2018-19,2018-10-10,preseason,New Orleans Pelicans,Miami Heat,NOP@MIA
2018-19,2018-10-10,preseason,Phoenix Suns,Portland Trail Blazers,PHX@POR
2018-19,2018-10-10,preseason,San Antonio Spurs,Atlanta Hawks,SAS@ATL
2018-19,2018-10-10,preseason,Washington Wizards,Detroit Pistons,WAS@DET
2018-19,2018-10-11,preseason,Toronto Raptors,New Orleans Pelicans,TOR@NOP
2018-19,2018-10-11,preseason,Utah Jazz,Sacramento Kings,UTA@SAC
2018-19,2018-10-12,preseason,Atlanta Hawks,Miami Heat,ATL@MIA
2018-19,2018-10-12,preseason,Brooklyn Nets,New York Knicks,BKN@NYK
2018-19,2018-10-12,preseason,Charlotte Hornets,Dallas Mavericks,CHA@DAL
2018-19,2018-10-12,preseason,Denver Nuggets,Chicago Bulls,DEN@CHI
2018-19,2018-10-12,preseason,Detroit Pistons,Cleveland Cavaliers,DET@CLE
2018-19,2018-10-12,preseason,Houston Rockets,Memphis Grizzlies,HOU@MEM
2018-19,2018-10-12,preseason,Los Angeles Lakers,Golden State Warriors,LAL@GSW
2018-19,2018-10-12,preseason,Minnesota Timberwolves,Milwaukee Bucks,MIN@MIL
2018-19,2018-10-12,preseason,Sacramento Kings,Portland Trail Blazers,SAC@POR
2018-19,2018-10-12,preseason,San Antonio Spurs,Orlando Magic,SAS@ORL
2018-19,2018-10-16,regular,Oklahoma City Thunder,Golden State Warriors,OKC@GSW
2018-19,2018-10-16,regular,Philadelphia 76ers,Boston Celtics,PHI@BOS
2018-19,2018-10-17,regular,Atlanta Hawks,New York Knicks,ATL@NYK
2018-19,2018-10-17,regular,Brooklyn Nets,Detroit Pistons,BKN@DET
2018-19,2018-10-17,regular,Cleveland Cavaliers,Toronto Raptors,CLE@TOR
2018-19,2018-10-17,regular,Dallas Mavericks,Phoenix Suns,DAL@PHX
2018-19,2018-10-17,regular,Denver Nuggets,LA Clippers,DEN@LAC
2018-19,2018-10-17,regular,Memphis Grizzlies,Indiana Pacers,MEM@IND
2018-19,2018-10-17,regular,Miami Heat,Orlando Magic,MIA@ORL
2018-19,2018-10-17,regular,Milwaukee Bucks,Charlotte Hornets,MIL@CHA
2018-19,2018-10-17,regular,Minnesota Timberwolves,San Antonio Spurs,MIN@SAS
2018-19,2018-10-17,regular,New Orleans Pelicans,Houston Rockets,NOP@HOU
2018-19,2018-10-17,regular,Utah Jazz,Sacramento Kings,UTA@SAC
2018-19,2018-10-18,regular,Chicago Bulls,Philadelphia 76ers,CHI@PHI
2018-19,2018-10-18,regular,Los Angeles Lakers,Portland Trail Blazers,LAL@POR
2018-19,2018-10-18,regular,Miami Heat,Washington Wizards,MIA@WAS
2018-19,2018-10-19,regular,Atlanta Hawks,Memphis Grizzlies,ATL@MEM
2018-19,2018-10-19,regular,Boston Celtics,Toronto Raptors,BOS@TOR
2018-19,2018-10-19,regular,Charlotte Hornets,Orlando Magic,CHA@ORL
2018-19,2018-10-19,regular,Cleveland Cavaliers,Minnesota Timberwolves,CLE@MIN
2018-19,2018-10-19,regular,Golden State Warriors,Utah Jazz,GSW@UTA
2018-19,2018-10-19,regular,Indiana Pacers,Milwaukee Bucks,IND@MIL
2018-19,2018-10-19,regular,New York Knicks,Brooklyn Nets,NYK@BKN
2018-19,2018-10-19,regular,Oklahoma City Thunder,LA Clippers,OKC@LAC
2018-19,2018-10-19,regular,Sacramento Kings,New Orleans Pelicans,SAC@NOP
2018-19,2018-10-20,regular,Brooklyn Nets,Indiana Pacers,BKN@IND
2018-19,2018-10-20,regular,Boston Celtics,New York Knicks,BOS@NYK
2018-19,2018-10-20,regular,Charlotte Hornets,Miami Heat,CHA@MIA
2018-19,2018-10-20,regular,Detroit Pistons,Chicago Bulls,DET@CHI
2018-19,2018-10-20,regular,Houston Rockets,Los Angeles Lakers,HOU@LAL
2018-19,2018-10-20,regular,Minnesota Timberwolves,Dallas Mavericks,MIN@DAL
2018-19,2018-10-20,regular,Orlando Magic,Philadelphia 76ers,ORL@PHI
2018-19,2018-10-20,regular,Phoenix Suns,Denver Nuggets,PHX@DEN
2018-19,2018-10-20,regular,San Antonio Spurs,Portland Trail Blazers,SAS@POR
2018-19,2018-10-20,regular,Toronto Raptors,Washington Wizards,TOR@WAS
2018-19,2018-10-21,regular,Atlanta Hawks,Cleveland Cavaliers,ATL@CLE
2018-19,2018-10-21,regular,Golden State Warriors,Denver Nuggets,GSW@DEN
2018-19,2018-10-21,regular,Houston Rockets,LA Clippers,HOU@LAC
2018-19,2018-10-21,regular,Sacramento Kings,Oklahoma City Thunder,SAC@OKC
2018-19,2018-10-22,regular,Charlotte Hornets,Toronto Raptors,CHA@TOR
2018-19,2018-10-22,regular,Chicago Bulls,Dallas Mavericks,CHI@DAL
2018-19,2018-10-22,regular,Indiana Pacers,Minnesota Timberwolves,IND@MIN
2018-19,2018-10-22,regular,Memphis Grizzlies,Utah Jazz,MEM@UTA
2018-19,2018-10-22,regular,New York Knicks,Milwaukee Bucks,NYK@MIL
2018-19,2018-10-22,regular,Orlando Magic,Boston Celtics,ORL@BOS
2018-19,2018-10-22,regular,Phoenix Suns,Golden State Warriors,PHX@GSW
2018-19,2018-10-22,regular,San Antonio Spurs,Los Angeles Lakers,SAS@LAL
2018-19,2018-10-22,regular,Washington Wizards,Portland Trail Blazers,WAS@POR
2018-19,2018-10-23,regular,LA Clippers,New Orleans Pelicans,LAC@NOP
2018-19,2018-10-23,regular,Philadelphia 76ers,Detroit Pistons,PHI@DET
2018-19,2018-10-23,regular,Sacramento Kings,Denver Nuggets,SAC@DEN
2018-19,2018-10-24,regular,Brooklyn Nets,Cleveland Cavaliers,BKN@CLE
2018-19,2018-10-24,regular,Charlotte Hornets,Chicago Bulls,CHA@CHI
2018-19,2018-10-24,regular,Dallas Mavericks,Atlanta Hawks,DAL@ATL
2018-19,2018-10-24,regular,Indiana Pacers,San Antonio Spurs,IND@SAS
2018-19,2018-10-24,regular,Los Angeles Lakers,Phoenix Suns,LAL@PHX
2018-19,2018-10-24,regular,Memphis Grizzlies,Sacramento Kings,MEM@SAC
2018-19,2018-10-24,regular,Minnesota Timberwolves,Toronto Raptors,MIN@TOR
2018-19,2018-10-24,regular,New York Knicks,Miami Heat,NYK@MIA
2018-19,2018-10-24,regular,Philadelphia 76ers,Milwaukee Bucks,PHI@MIL
2018-19,2018-10-24,regular,Utah Jazz,Houston Rockets,UTA@HOU
2018-19,2018-10-24,regular,Washington Wizards,Golden State Warriors,WAS@GSW
2018-19,2018-10-25,regular,Boston Celtics,Oklahoma City Thunder,BOS@OKC
2018-19,2018-10-25,regular,Cleveland Cavaliers,Detroit Pistons,CLE@DET
2018-19,2018-10-25,regular,Denver Nuggets,Los Angeles Lakers,DEN@LAL
2018-19,2018-10-25,regular,Portland Trail Blazers,Orlando Magic,POR@ORL
2018-19,2018-10-26,regular,Brooklyn Nets,New Orleans Pelicans,BKN@NOP
2018-19,2018-10-26,regular,Chicago Bulls,Charlotte Hornets,CHI@CHA
2018-19,2018-10-26,regular,Dallas Mavericks,Toronto Raptors,DAL@TOR
2018-19,2018-10-26,regular,Golden State Warriors,New York Knicks,GSW@NYK
2018-19,2018-10-26,regular,LA Clippers,Houston Rockets,LAC@HOU
2018-19,2018-10-26,regular,Milwaukee Bucks,Minnesota Timberwolves,MIL@MIN
2018-19,2018-10-26,regular,Washington Wizards,Sacramento Kings,WAS@SAC
2018-19,2018-10-27,regular,Boston Celtics,Detroit Pistons,BOS@DET
2018-19,2018-10-27,regular,Charlotte Hornets,Philadelphia 76ers,CHA@PHI
2018-19,2018-10-27,regular,Chicago Bulls,Atlanta Hawks,CHI@ATL
2018-19,2018-10-27,regular,Indiana Pacers,Cleveland Cavaliers,IND@CLE
2018-19,2018-10-27,regular,Los Angeles Lakers,San Antonio Spurs,LAL@SAS
2018-19,2018-10-27,regular,Orlando Magic,Milwaukee Bucks,ORL@MIL
2018-19,2018-10-27,regular,Phoenix Suns,Memphis Grizzlies,PHX@MEM
2018-19,2018-10-27,regular,Portland Trail Blazers,Miami Heat,POR@MIA
2018-19,2018-10-27,regular,Utah Jazz,New Orleans Pelicans,UTA@NOP
2018-19,2018-10-28,regular,Golden State Warriors,Brooklyn Nets,GSW@BKN
2018-19,2018-10-28,regular,Phoenix Suns,Oklahoma City Thunder,PHX@OKC
2018-19,2018-10-28,regular,Utah Jazz,Dallas Mavericks,UTA@DAL
2018-19,2018-10-28,regular,Washington Wizards,LA Clippers,WAS@LAC
2018-19,2018-10-29,regular,Atlanta Hawks,Philadelphia 76ers,ATL@PHI
2018-19,2018-10-29,regular,Brooklyn Nets,New York Knicks,BKN@NYK
2018-19,2018-10-29,regular,Dallas Mavericks,San Antonio Spurs,DAL@SAS
2018-19,2018-10-29,regular,Golden State Warriors,Chicago Bulls,GSW@CHI
2018-19,2018-10-29,regular,Los Angeles Lakers,Minnesota Timberwolves,LAL@MIN
2018-19,2018-10-29,regular,New Orleans Pelicans,Denver Nuggets,NOP@DEN
2018-19,2018-10-29,regular,Portland Trail Blazers,Indiana Pacers,POR@IND
2018-19,2018-10-29,regular,Sacramento Kings,Miami Heat,SAC@MIA
2018-19,2018-10-29,regular,Toronto Raptors,Milwaukee Bucks,TOR@MIL
2018-19,2018-10-30,regular,Atlanta Hawks,Cleveland Cavaliers,ATL@CLE
2018-19,2018-10-30,regular,Detroit Pistons,Boston Celtics,DET@BOS
2018-19,2018-10-30,regular,LA Clippers,Oklahoma City Thunder,LAC@OKC
2018-19,2018-10-30,regular,Miami Heat,Charlotte Hornets,MIA@CHA
2018-19,2018-10-30,regular,Philadelphia 76ers,Toronto Raptors,PHI@TOR
2018-19,2018-10-30,regular,Portland Trail Blazers,Houston Rockets,POR@HOU
2018-19,2018-10-30,regular,Sacramento Kings,Orlando Magic,SAC@ORL
2018-19,2018-10-30,regular,Washington Wizards,Memphis Grizzlies,WAS@MEM
2018-19,2018-10-31,regular,Dallas Mavericks,Los Angeles Lakers,DAL@LAL
2018-19,2018-10-31,regular,Denver Nuggets,Chicago Bulls,DEN@CHI
2018-19,2018-10-31,regular,Detroit Pistons,Brooklyn Nets,DET@BKN
2018-19,2018-10-31,regular,Indiana Pacers,New York Knicks,IND@NYK
2018-19,2018-10-31,regular,New Orleans Pelicans,Golden State Warriors,NOP@GSW
2018-19,2018-10-31,regular,San Antonio Spurs,Phoenix Suns,SAS@PHX
2018-19,2018-10-31,regular,Utah Jazz,Minnesota Timberwolves,UTA@MIN
2018-19,2018-11-01,regular,Denver Nuggets,Cleveland Cavaliers,DEN@CLE
2018-19,2018-11-01,regular,LA Clippers,Philadelphia 76ers,LAC@PHI
2018-19,2018-11-01,regular,Milwaukee Bucks,Boston Celtics,MIL@BOS
2018-19,2018-11-01,regular,New Orleans Pelicans,Portland Trail Blazers,NOP@POR
2018-19,2018-11-01,regular,Oklahoma City Thunder,Charlotte Hornets,OKC@CHA
2018-19,2018-11-01,regular,Sacramento Kings,Atlanta Hawks,SAC@ATL
2018-19,2018-11-02,regular,Houston Rockets,Brooklyn Nets,HOU@BKN
2018-19,2018-11-02,regular,Indiana Pacers,Chicago Bulls,IND@CHI
2018-19,2018-11-02,regular,LA Clippers,Orlando Magic,LAC@ORL
2018-19,2018-11-02,regular,Memphis Grizzlies,Utah Jazz,MEM@UTA
2018-19,2018-11-02,regular,Minnesota Timberwolves,Golden State Warriors,MIN@GSW
2018-19,2018-11-02,regular,New York Knicks,Dallas Mavericks,NYK@DAL
2018-19,2018-11-02,regular,Oklahoma City Thunder,Washington Wizards,OKC@WAS
2018-19,2018-11-02,regular,Toronto Raptors,Phoenix Suns,TOR@PHX
2018-19,2018-11-03,regular,Boston Celtics,Indiana Pacers,BOS@IND
2018-19,2018-11-03,regular,Cleveland Cavaliers,Charlotte Hornets,CLE@CHA
2018-19,2018-11-03,regular,Detroit Pistons,Philadelphia 76ers,DET@PHI
2018-19,2018-11-03,regular,Houston Rockets,Chicago Bulls,HOU@CHI
2018-19,2018-11-03,regular,Los Angeles Lakers,Portland Trail Blazers,LAL@POR
2018-19,2018-11-03,regular,Miami Heat,Atlanta Hawks,MIA@ATL
2018-19,2018-11-03,regular,New Orleans Pelicans,San Antonio Spurs,NOP@SAS
2018-19,2018-11-03,regular,Utah Jazz,Denver Nuggets,UTA@DEN
2018-19,2018-11-04,regular,Memphis Grizzlies,Phoenix Suns,MEM@PHX
2018-19,2018-11-04,regular,Minnesota Timberwolves,Portland Trail Blazers,MIN@POR
2018-19,2018-11-04,regular,New York Knicks,Washington Wizards,NYK@WAS
2018-19,2018-11-04,regular,Orlando Magic,San Antonio Spurs,ORL@SAS
2018-19,2018-11-04,regular,Philadelphia 76ers,Brooklyn Nets,PHI@BKN
2018-19,2018-11-04,regular,Sacramento Kings,Milwaukee Bucks,SAC@MIL
2018-19,2018-11-04,regular,Toronto Raptors,Los Angeles Lakers,TOR@LAL
2018-19,2018-11-05,regular,Boston Celtics,Denver Nuggets,BOS@DEN
2018-19,2018-11-05,regular,Chicago Bulls,New York Knicks,CHI@NYK
2018-19,2018-11-05,regular,Cleveland Cavaliers,Orlando Magic,CLE@ORL
2018-19,2018-11-05,regular,Houston Rockets,Indiana Pacers,HOU@IND
2018-19,2018-11-05,regular,Memphis Grizzlies,Golden State Warriors,MEM@GSW
2018-19,2018-11-05,regular,Miami Heat,Detroit Pistons,MIA@DET
2018-19,2018-11-05,regular,Minnesota Timberwolves,LA Clippers,MIN@LAC
2018-19,2018-11-05,regular,New Orleans Pelicans,Oklahoma City Thunder,NOP@OKC
2018-19,2018-11-05,regular,Toronto Raptors,Utah Jazz,TOR@UTA
2018-19,2018-11-06,regular,Atlanta Hawks,Charlotte Hornets,ATL@CHA
2018-19,2018-11-06,regular,Brooklyn Nets,Phoenix Suns,BKN@PHX
2018-19,2018-11-06,regular,Milwaukee Bucks,Portland Trail Blazers,MIL@POR
2018-19,2018-11-06,regular,Washington Wizards,Dallas Mavericks,WAS@DAL
2018-19,2018-11-07,regular,Chicago Bulls,New Orleans Pelicans,CHI@NOP
2018-19,2018-11-07,regular,Dallas Mavericks,Utah Jazz,DAL@UTA
2018-19,2018-11-07,regular,Denver Nuggets,Memphis Grizzlies,DEN@MEM
2018-19,2018-11-07,regular,Detroit Pistons,Orlando Magic,DET@ORL
2018-19,2018-11-07,regular,Minnesota Timberwolves,Los Angeles Lakers,MIN@LAL
2018-19,2018-11-07,regular,New York Knicks,Atlanta Hawks,NYK@ATL
2018-19,2018-11-07,regular,Oklahoma City Thunder,Cleveland Cavaliers,OKC@CLE
2018-19,2018-11-07,regular,Philadelphia 76ers,Indiana Pacers,PHI@IND
2018-19,2018-11-07,regular,San Antonio Spurs,Miami Heat,SAS@MIA
2018-19,2018-11-07,regular,Toronto Raptors,Sacramento Kings,TOR@SAC
2018-19,2018-11-08,regular,Boston Celtics,Phoenix Suns,BOS@PHX
2018-19,2018-11-08,regular,Houston Rockets,Oklahoma City Thunder,HOU@OKC
2018-19,2018-11-08,regular,LA Clippers,Portland Trail Blazers,LAC@POR
2018-19,2018-11-08,regular,Milwaukee Bucks,Golden State Warriors,MIL@GSW
2018-19,2018-11-09,regular,Brooklyn Nets,Denver Nuggets,BKN@DEN
2018-19,2018-11-09,regular,Boston Celtics,Utah Jazz,BOS@UTA
2018-19,2018-11-09,regular,Charlotte Hornets,Philadelphia 76ers,CHA@PHI
2018-19,2018-11-09,regular,Detroit Pistons,Atlanta Hawks,DET@ATL
2018-19,2018-11-09,regular,Indiana Pacers,Miami Heat,IND@MIA
2018-19,2018-11-09,regular,Minnesota Timberwolves,Sacramento Kings,MIN@SAC
2018-19,2018-11-09,regular,Washington Wizards,Orlando Magic,WAS@ORL
2018-19,2018-11-10,regular,Brooklyn Nets,Golden State Warriors,BKN@GSW
2018-19,2018-11-10,regular,Cleveland Cavaliers,Chicago Bulls,CLE@CHI
2018-19,2018-11-10,regular,Houston Rockets,San Antonio Spurs,HOU@SAS
2018-19,2018-11-10,regular,Los Angeles Lakers,Sacramento Kings,LAL@SAC
2018-19,2018-11-10,regular,Milwaukee Bucks,LA Clippers,MIL@LAC
2018-19,2018-11-10,regular,New York Knicks,Toronto Raptors,NYK@TOR
2018-19,2018-11-10,regular,Oklahoma City Thunder,Dallas Mavericks,OKC@DAL
2018-19,2018-11-10,regular,Philadelphia 76ers,Memphis Grizzlies,PHI@MEM
2018-19,2018-11-10,regular,Phoenix Suns,New Orleans Pelicans,PHX@NOP
2018-19,2018-11-10,regular,Washington Wizards,Miami Heat,WAS@MIA
2018-19,2018-11-11,regular,Atlanta Hawks,Los Angeles Lakers,ATL@LAL
2018-19,2018-11-11,regular,Boston Celtics,Portland Trail Blazers,BOS@POR
2018-19,2018-11-11,regular,Charlotte Hornets,Detroit Pistons,CHA@DET
2018-19,2018-11-11,regular,Indiana Pacers,Houston Rockets,IND@HOU
2018-19,2018-11-11,regular,Milwaukee Bucks,Denver Nuggets,MIL@DEN
2018-19,2018-11-11,regular,Orlando Magic,New York Knicks,ORL@NYK
2018-19,2018-11-12,regular,Brooklyn Nets,Minnesota Timberwolves,BKN@MIN
2018-19,2018-11-12,regular,Dallas Mavericks,Chicago Bulls,DAL@CHI
2018-19,2018-11-12,regular,Golden State Warriors,LA Clippers,GSW@LAC
2018-19,2018-11-12,regular,New Orleans Pelicans,Toronto Raptors,NOP@TOR
2018-19,2018-11-12,regular,Orlando Magic,Washington Wizards,ORL@WAS
2018-19,2018-11-12,regular,Philadelphia 76ers,Miami Heat,PHI@MIA
2018-19,2018-11-12,regular,Phoenix Suns,Oklahoma City Thunder,PHX@OKC
2018-19,2018-11-12,regular,San Antonio Spurs,Sacramento Kings,SAS@SAC
2018-19,2018-11-12,regular,Utah Jazz,Memphis Grizzlies,UTA@MEM
2018-19,2018-11-13,regular,Atlanta Hawks,Golden State Warriors,ATL@GSW
2018-19,2018-11-13,regular,Charlotte Hornets,Cleveland Cavaliers,CHA@CLE
2018-19,2018-11-13,regular,Houston Rockets,Denver Nuggets,HOU@DEN
2018-19,2018-11-14,regular,Chicago Bulls,Boston Celtics,CHI@BOS
2018-19,2018-11-14,regular,Cleveland Cavaliers,Washington Wizards,CLE@WAS
2018-19,2018-11-14,regular,Detroit Pistons,Toronto Raptors,DET@TOR
2018-19,2018-11-14,regular,Memphis Grizzlies,Milwaukee Bucks,MEM@MIL
2018-19,2018-11-14,regular,Miami Heat,Brooklyn Nets,MIA@BKN
2018-19,2018-11-14,regular,New Orleans Pelicans,Minnesota Timberwolves,NOP@MIN
2018-19,2018-11-14,regular,New York Knicks,Oklahoma City Thunder,NYK@OKC
2018-19,2018-11-14,regular,Philadelphia 76ers,Orlando Magic,PHI@ORL
2018-19,2018-11-14,regular,Portland Trail Blazers,Los Angeles Lakers,POR@LAL
2018-19,2018-11-14,regular,San Antonio Spurs,Phoenix Suns,SAS@PHX
2018-19,2018-11-14,regular,Utah Jazz,Dallas Mavericks,UTA@DAL
2018-19,2018-11-15,regular,Atlanta Hawks,Denver Nuggets,ATL@DEN
2018-19,2018-11-15,regular,Golden State Warriors,Houston Rockets,GSW@HOU
2018-19,2018-11-15,regular,San Antonio Spurs,LA Clippers,SAS@LAC
2018-19,2018-11-16,regular,Brooklyn Nets,Washington Wizards,BKN@WAS
2018-19,2018-11-16,regular,Chicago Bulls,Milwaukee Bucks,CHI@MIL
2018-19,2018-11-16,regular,Miami Heat,Indiana Pacers,MIA@IND
2018-19,2018-11-16,regular,New York Knicks,New Orleans Pelicans,NYK@NOP
2018-19,2018-11-16,regular,Portland Trail Blazers,Minnesota Timberwolves,POR@MIN
2018-19,2018-11-16,regular,Sacramento Kings,Memphis Grizzlies,SAC@MEM
2018-19,2018-11-16,regular,Toronto Raptors,Boston Celtics,TOR@BOS
2018-19,2018-11-16,regular,Utah Jazz,Philadelphia 76ers,UTA@PHI
2018-19,2018-11-17,regular,Atlanta Hawks,Indiana Pacers,ATL@IND
2018-19,2018-11-17,regular,Denver Nuggets,New Orleans Pelicans,DEN@NOP
2018-19,2018-11-17,regular,Golden State Warriors,Dallas Mavericks,GSW@DAL
2018-19,2018-11-17,regular,LA Clippers,Brooklyn Nets,LAC@BKN
2018-19,2018-11-17,regular,Los Angeles Lakers,Orlando Magic,LAL@ORL
2018-19,2018-11-17,regular,Oklahoma City Thunder,Phoenix Suns,OKC@PHX
2018-19,2018-11-17,regular,Philadelphia 76ers,Charlotte Hornets,PHI@CHA
2018-19,2018-11-17,regular,Sacramento Kings,Houston Rockets,SAC@HOU
2018-19,2018-11-17,regular,Toronto Raptors,Chicago Bulls,TOR@CHI
2018-19,2018-11-17,regular,Utah Jazz,Boston Celtics,UTA@BOS
2018-19,2018-11-18,regular,Golden State Warriors,San Antonio Spurs,GSW@SAS
2018-19,2018-11-18,regular,Los Angeles Lakers,Miami Heat,LAL@MIA
2018-19,2018-11-18,regular,Memphis Grizzlies,Minnesota Timberwolves,MEM@MIN
2018-19,2018-11-18,regular,New York Knicks,Orlando Magic,NYK@ORL
2018-19,2018-11-18,regular,Portland Trail Blazers,Washington Wizards,POR@WAS
2018-19,2018-11-19,regular,Boston Celtics,Charlotte Hornets,BOS@CHA
2018-19,2018-11-19,regular,Cleveland Cavaliers,Detroit Pistons,CLE@DET
2018-19,2018-11-19,regular,Dallas Mavericks,Memphis Grizzlies,DAL@MEM
2018-19,2018-11-19,regular,Denver Nuggets,Milwaukee Bucks,DEN@MIL
2018-19,2018-11-19,regular,LA Clippers,Atlanta Hawks,LAC@ATL
2018-19,2018-11-19,regular,Oklahoma City Thunder,Sacramento Kings,OKC@SAC
2018-19,2018-11-19,regular,Phoenix Suns,Philadelphia 76ers,PHX@PHI
2018-19,2018-11-19,regular,San Antonio Spurs,New Orleans Pelicans,SAS@NOP
2018-19,2018-11-19,regular,Utah Jazz,Indiana Pacers,UTA@IND
2018-19,2018-11-20,regular,Brooklyn Nets,Miami Heat,BKN@MIA
2018-19,2018-11-20,regular,LA Clippers,Washington Wizards,LAC@WAS
2018-19,2018-11-20,regular,Portland Trail Blazers,New York Knicks,POR@NYK
2018-19,2018-11-20,regular,Toronto Raptors,Orlando Magic,TOR@ORL
2018-19,2018-11-21,regular,Brooklyn Nets,Dallas Mavericks,BKN@DAL
2018-19,2018-11-21,regular,Denver Nuggets,Minnesota Timberwolves,DEN@MIN
2018-19,2018-11-21,regular,Detroit Pistons,Houston Rockets,DET@HOU
2018-19,2018-11-21,regular,Indiana Pacers,Charlotte Hornets,IND@CHA
2018-19,2018-11-21,regular,Los Angeles Lakers,Cleveland Cavaliers,LAL@CLE
2018-19,2018-11-21,regular,Memphis Grizzlies,San Antonio Spurs,MEM@SAS
2018-19,2018-11-21,regular,New Orleans Pelicans,Philadelphia 76ers,NOP@PHI
2018-19,2018-11-21,regular,New York Knicks,Boston Celtics,NYK@BOS
2018-19,2018-11-21,regular,Oklahoma City Thunder,Golden State Warriors,OKC@GSW
2018-19,2018-11-21,regular,Phoenix Suns,Chicago Bulls,PHX@CHI
2018-19,2018-11-21,regular,Portland Trail Blazers,Milwaukee Bucks,POR@MIL
2018-19,2018-11-21,regular,Sacramento Kings,Utah Jazz,SAC@UTA
2018-19,2018-11-21,regular,Toronto Raptors,Atlanta Hawks,TOR@ATL
2018-19,2018-11-23,regular,Boston Celtics,Atlanta Hawks,BOS@ATL
2018-19,2018-11-23,regular,Charlotte Hornets,Oklahoma City Thunder,CHA@OKC
