SEASON_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL
52021,MIN,Minnesota Timberwolves,0052100121,2022-04-12,MIN vs. LAC,W
52021,LAC,LA Clippers,0052100121,2022-04-12,LAC @ MIN,L
52021,CLE,Cleveland Cavaliers,0052100101,2022-04-12,CLE @ BKN,L
52021,BKN,Brooklyn Nets,0052100101,2022-04-12,BKN vs. CLE,W
52021,CHA,Charlotte Hornets,0052100111,2022-04-13,CHA @ ATL,L
52021,SAS,San Antonio Spurs,0052100131,2022-04-13,SAS @ NOP,L
52021,NOP,New Orleans Pelicans,0052100131,2022-04-13,NOP vs. SAS,W
52021,ATL,Atlanta Hawks,0052100111,2022-04-13,ATL vs. CHA,W
52021,NOP,New Orleans Pelicans,0052100211,2022-04-15,NOP @ LAC,W
52021,CLE,Cleveland Cavaliers,0052100201,2022-04-15,CLE vs. ATL,L
52021,ATL,Atlanta Hawks,0052100201,2022-04-15,ATL @ CLE,W
52021,LAC,LA Clippers,0052100211,2022-04-15,LAC vs. NOP,L
