SEASON_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL
12019,SDS,Shanghai Sharks,0011900001,2019-09-30,SDS @ HOU,L
12019,HOU,Houston Rockets,0011900001,2019-09-30,HOU vs. SDS,W
12019,LAC,LA Clippers,0011900002,2019-10-04,LAC vs. HOU,L
12019,BKN,Brooklyn Nets,0011900004,2019-10-04,BKN vs. FRA,W
12019,IND,Indiana Pacers,0011900003,2019-10-04,IND @ SAC,W
12019,FRA,SESI/Franca Basketball Club of Brazil,0011900004,2019-10-04,FRA @ BKN,L
12019,HOU,Houston Rockets,0011900002,2019-10-04,HOU @ LAC,W
12019,SAC,Sacramento Kings,0011900003,2019-10-04,SAC vs. IND,L
12019,LAL,Los Angeles Lakers,0011900006,2019-10-05,LAL @ GSW,W
12019,ORL,Orlando Magic,0011900007,2019-10-05,ORL @ SAS,W
12019,IND,Indiana Pacers,0011900005,2019-10-05,IND vs. SAC,W
12019,ADL,Adelaide 36ers,0011900008,2019-10-05,ADL @ UTA,L
12019,GSW,Golden State Warriors,0011900006,2019-10-05,GSW vs. LAL,L
12019,SAC,Sacramento Kings,0011900005,2019-10-05,SAC @ IND,L
12019,SAS,San Antonio Spurs,0011900007,2019-10-05,SAS vs. ORL,L
12019,UTA,Utah Jazz,0011900008,2019-10-05,UTA vs. ADL,W
12019,LAC,LA Clippers,0011900011,2019-10-06,LAC vs. SDS,W
12019,MAC,Haifa Maccabi Haifa,0011900009,2019-10-06,MAC @ MEM,L
12019,SDS,Shanghai Sharks,0011900011,2019-10-06,SDS @ LAC,L
12019,BOS,Boston Celtics,0011900010,2019-10-06,BOS vs. CHA,W
12019,MEM,Memphis Grizzlies,0011900009,2019-10-06,MEM vs. MAC,W
12019,CHA,Charlotte Hornets,0011900010,2019-10-06,CHA @ BOS,L
12019,MIL,Milwaukee Bucks,0011900016,2019-10-07,MIL @ CHI,W
12019,NYK,New York Knicks,0011900014,2019-10-07,NYK @ WAS,W
12019,ORL,Orlando Magic,0011900013,2019-10-07,ORL @ DET,W
12019,SLA,Buenos Aires San Lorenzo,0011900012,2019-10-07,SLA @ CLE,L
12019,ATL,Atlanta Hawks,0011900015,2019-10-07,ATL vs. NOP,L
12019,CLE,Cleveland Cavaliers,0011900012,2019-10-07,CLE vs. SLA,W
12019,NOP,New Orleans Pelicans,0011900015,2019-10-07,NOP @ ATL,W
12019,CHI,Chicago Bulls,0011900016,2019-10-07,CHI vs. MIL,L
12019,WAS,Washington Wizards,0011900014,2019-10-07,WAS vs. NYK,L
12019,DET,Detroit Pistons,0011900013,2019-10-07,DET vs. ORL,L
12019,MIA,Miami Heat,0011900019,2019-10-08,MIA vs. SAS,W
12019,MIN,Minnesota Timberwolves,0011900022,2019-10-08,MIN @ PHX,L
12019,PHI,Philadelphia 76ers,0011900018,2019-10-08,PHI vs. GUA,W
12019,GUA,Guangzhou Long-Lions,0011900018,2019-10-08,GUA @ PHI,L
12019,NZB,New Zealand Breakers,0011900020,2019-10-08,NZB @ MEM,L
12019,DAL,Dallas Mavericks,0011900021,2019-10-08,DAL @ OKC,L
12019,DEN,Denver Nuggets,0011900023,2019-10-08,DEN @ POR,W
12019,HOU,Houston Rockets,0011900017,2019-10-08,HOU @ TOR,L
12019,PHX,Phoenix Suns,0011900022,2019-10-08,PHX vs. MIN,W
12019,POR,Portland Trail Blazers,0011900023,2019-10-08,POR vs. DEN,L
12019,SAS,San Antonio Spurs,0011900019,2019-10-08,SAS @ MIA,L
12019,OKC,Oklahoma City Thunder,0011900021,2019-10-08,OKC vs. DAL,W
12019,TOR,Toronto Raptors,0011900017,2019-10-08,TOR vs. HOU,W
12019,MEM,Memphis Grizzlies,0011900020,2019-10-08,MEM vs. NZB,W
12019,MIA,Miami Heat,0011900027,2019-10-09,MIA @ CHA,W
12019,MIL,Milwaukee Bucks,0011900029,2019-10-09,MIL vs. UTA,W
12019,ORL,Orlando Magic,0011900026,2019-10-09,ORL @ ATL,W
